Title: A Swift look at SN 2011fe: The Earliest Ultraviolet Observations of a 
       Type Ia Supernova  
Authors: Brown P.J., Dawson K.S., de Pasquale M., Gronwall C., Holland S., 
         Immler S., Kuin P., Mazzali P., Milne P., Oates S., Siegel M. 
Table: SN2011fe UVOT Magnitudes, Count Rates and Fluxes
================================================================================
Byte-by-byte Description of file: apj431440t1_mrt.txt
-------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---     Filter  Filter used in observation
   6- 15 F10.4  d       MJD     Modified Julian Date of observation  
  17- 21 F5.2   mag     mag     ? Observed magnitude in Filter
  23- 26 F4.2   mag   e_mag     ? Uncertainty in mag  
  28- 32 F5.2   mag     Upper   The 3{sigma} upper limit  
  34- 39 F6.2   ct/s    CRate   Count rate  
  41- 45 F5.2   ct/s  e_CRate   Uncertainty in CRate 
  47- 54 E8.2   mW/m2   Flux    Observed flux; erg/s/cm^2^   
  56- 63 E8.2   mW/m2 e_Flux    Uncertainty in Flux; erg/s/cm^2^
--------------------------------------------------------------------------------
uvw2 55811.3174 12.61 0.04 15.08  81.22  2.78 6.14e-10 2.10e-11 
uvw2 55811.4514 12.62 0.04 15.09  80.11  2.74 6.06e-10 2.07e-11 
uvw2 55811.6342 12.59 0.05 14.83  82.30  3.48 6.22e-10 2.63e-11 
uvw2 55811.6352 12.64 0.04 15.11  78.32  2.69 5.92e-10 2.03e-11 
uvw2 55812.3723 12.59 0.04 15.07  82.45  2.79 6.30e-10 2.13e-11 
uvw2 55812.5726 12.65 0.04 15.11  78.29  2.70 5.92e-10 2.04e-11 
uvw2 55813.1161 12.59 0.04 15.06  82.33  2.82 6.25e-10 2.14e-11 
uvw2 55814.2524 12.62 0.04 14.89  80.22  3.29 6.17e-10 2.53e-11 
uvw2 55814.2536 12.61 0.04 15.09  80.97  2.75 6.23e-10 2.12e-11 
uvw2 55814.3277 12.60 0.04 15.08  81.49  2.77 6.28e-10 2.13e-11 
uvw2 55814.3938 12.61 0.04 15.09  80.89  2.76 6.23e-10 2.12e-11 
uvw2 55814.4618 12.62 0.04 15.10  79.99  2.72 6.16e-10 2.09e-11 
uvw2 55814.7905 12.62 0.04 15.08  80.02  2.77 6.15e-10 2.13e-11 
uvw2 55814.8605 12.63 0.04 15.10  79.43  2.72 6.13e-10 2.10e-11 
uvw2 55814.9134 12.66 0.04 15.00  77.09  2.97 5.93e-10 2.29e-11 
uvw2 55814.9151 12.63 0.04 15.12  79.44  2.67 6.11e-10 2.06e-11 
uvw2 55814.9994 12.63 0.04 15.10  79.27  2.72 6.09e-10 2.09e-11 
uvw2 55815.2528 12.65 0.04 15.15  77.85  2.60 5.95e-10 1.99e-11 
uvw2 55815.3919 12.69 0.04 15.16  75.14  2.57 5.81e-10 1.99e-11 
uvw2 55816.3175 12.71 0.04 15.02  74.10  2.92 5.70e-10 2.25e-11 
uvw2 55816.3184 12.73 0.04 15.17  72.18  2.55 5.55e-10 1.96e-11 
uvw2 55816.3250 12.72 0.04 15.21  72.76  2.47 5.60e-10 1.90e-11 
uvw2 55816.3885 12.75 0.04 15.23  70.94  2.42 5.48e-10 1.87e-11 
uvw2 55817.1879 12.81 0.04 15.22  67.39  2.43 5.18e-10 1.87e-11 
uvw2 55817.2042 12.79 0.04 15.25  68.32  2.36 5.25e-10 1.82e-11 
uvw2 55817.2552 12.78 0.04 15.20  69.29  2.49 5.32e-10 1.91e-11 
uvw2 55817.2703 12.78 0.04 15.23  69.33  2.41 5.32e-10 1.85e-11 
uvw2 55817.3219 12.75 0.04 15.17  71.29  2.56 5.47e-10 1.96e-11 
uvw2 55817.3349 12.80 0.04 15.25  67.58  2.38 5.19e-10 1.83e-11 
uvw2 55817.3886 12.76 0.04 15.18  70.37  2.54 5.40e-10 1.95e-11 
uvw2 55817.3970 12.80 0.04 15.20  67.78  2.48 5.20e-10 1.91e-11 
uvw2 55817.4685 12.86 0.04 15.23  64.44  2.42 4.94e-10 1.86e-11 
uvw2 55817.4748 12.80 0.04 15.14  68.14  2.63 5.23e-10 2.02e-11 
uvw2 55817.8633 12.86 0.04 15.36  64.52  2.15 4.94e-10 1.65e-11 
uvw2 55817.9397 12.85 0.04 15.29  65.16  2.27 4.99e-10 1.74e-11 
uvw2 55817.9998 12.85 0.04 15.23  64.89  2.41 4.96e-10 1.84e-11 
uvw2 55818.4028 12.92 0.04 15.42  60.75  2.02 4.61e-10 1.53e-11 
uvw2 55819.0638 13.03 0.04 15.49  55.04  1.89 4.20e-10 1.44e-11 
uvw2 55820.0830 13.11 0.04 15.50  50.86  1.89 3.77e-10 1.40e-11 
uvw2 55820.1497 13.15 0.04 15.51  49.34  1.86 3.65e-10 1.38e-11 
uvw2 55820.2170 13.10 0.04 15.48  51.61  1.91 3.80e-10 1.41e-11 
uvw2 55820.2837 13.10 0.04 15.47  51.56  1.93 3.79e-10 1.42e-11 
uvw2 55820.3510 13.08 0.04 15.46  52.45  1.95 3.85e-10 1.43e-11 
uvw2 55820.8724 13.23 0.06 15.27  45.52  2.33 3.31e-10 1.70e-11 
uvw2 55820.8735 13.20 0.04 15.62  47.18  1.69 3.43e-10 1.23e-11 
uvw2 55820.9377 13.26 0.05 15.41  44.61  2.05 3.27e-10 1.50e-11 
uvw2 55820.9393 13.22 0.04 15.66  46.25  1.62 3.39e-10 1.19e-11 
uvw2 55822.2116 13.31 0.06 15.26  42.33  2.35 3.04e-10 1.69e-11 
uvw2 55822.2125 13.40 0.04 15.79  39.13  1.45 2.81e-10 1.04e-11 
uvw2 55822.8811 13.54 0.07 15.35  34.48  2.16 2.45e-10 1.54e-11 
uvw2 55822.8820 13.47 0.04 15.83  36.78  1.39 2.62e-10 9.86e-12 
uvw2 55823.0150 13.42 0.06 15.36  38.32  2.15 2.72e-10 1.53e-11 
uvw2 55823.0160 13.50 0.04 15.89  35.55  1.32 2.53e-10 9.37e-12 
uvw2 55823.0825 13.50 0.07 15.32  35.64  2.21 2.48e-10 1.54e-11 
uvw2 55823.0834 13.45 0.04 15.81  37.48  1.42 2.60e-10 9.85e-12 
uvw2 55824.4213 13.67 0.07 15.39  30.43  2.08 2.10e-10 1.43e-11 
uvw2 55824.4222 13.68 0.04 16.01  30.16  1.18 2.08e-10 8.12e-12 
uvw2 55825.2920 13.77 0.06 15.77  27.90  1.46 1.93e-10 1.01e-11 
uvw2 55825.2937 13.78 0.04 16.19  27.46  1.00 1.90e-10 6.90e-12 
uvw2 55826.9044 14.06 0.08 15.75  21.30  1.50 1.45e-10 1.02e-11 
uvw2 55826.9054 14.02 0.04 16.33  22.17  0.88 1.51e-10 5.96e-12 
uvw2 55826.9686 13.95 0.08 15.58  23.61  1.74 1.59e-10 1.17e-11 
uvw2 55826.9695 14.00 0.04 16.29  22.44  0.91 1.51e-10 6.13e-12 
uvw2 55827.0382 14.06 0.09 15.61  21.23  1.71 1.50e-10 1.20e-11 
uvw2 55827.0390 14.00 0.04 16.27  22.48  0.92 1.58e-10 6.51e-12 
uvw2 55827.0519 13.98 0.06 15.99  22.86  1.20 1.56e-10 8.17e-12 
uvw2 55827.1127 14.00 0.04 16.25  22.57  0.94 1.53e-10 6.37e-12 
uvw2 55827.2475 14.02 0.05 16.24  22.01  0.95 1.49e-10 6.47e-12 
uvw2 55827.3107 14.03 0.05 16.27  21.95  0.93 1.49e-10 6.29e-12 
uvw2 55827.4447 13.99 0.05 16.23  22.67  0.96 1.54e-10 6.55e-12 
uvw2 55827.5189 14.04 0.04 16.32  21.73  0.89 1.48e-10 6.03e-12 
uvw2 55827.6545 14.11 0.05 16.30  20.27  0.90 1.38e-10 6.13e-12 
uvw2 55829.4403 14.16 0.07 15.87  19.33  1.34 1.30e-10 9.01e-12 
uvw2 55829.4415 14.32 0.04 16.60  16.73  0.68 1.12e-10 4.57e-12 
uvw2 55829.5104 14.41 0.10 15.82  15.41  1.40 1.04e-10 9.44e-12 
uvw2 55829.5113 14.32 0.05 16.53  16.76  0.73 1.13e-10 4.90e-12 
uvw2 55829.8412 14.28 0.10 15.71  17.46  1.54 1.15e-10 1.02e-11 
uvw2 55829.8420 14.36 0.05 16.55  16.20  0.72 1.07e-10 4.74e-12 
uvw2 55829.8594 14.29 0.05 16.36  17.27  0.85 1.16e-10 5.72e-12 
uvw2 55829.9751 14.35 0.05 16.57  16.26  0.70 1.09e-10 4.71e-12 
uvw2 55829.9924 14.34 0.05 16.58  16.45  0.70 1.10e-10 4.69e-12 
uvw2 55830.0557 14.35 0.05 16.53  16.28  0.73 1.09e-10 4.89e-12 
uvw2 55830.3899 14.49 0.05 16.58  14.36  0.69 9.72e-11 4.70e-12 
uvw2 55830.5280 14.39 0.05 16.54  15.70  0.72 1.05e-10 4.80e-12 
uvw2 55831.7902 14.67 0.10 16.10  12.10  1.08 8.25e-11 7.37e-12 
uvw2 55831.7913 14.59 0.05 16.81  13.11  0.56 8.94e-11 3.85e-12 
uvw2 55831.9131 14.50 0.10 15.96  14.17  1.24 9.06e-11 7.92e-12 
uvw2 55831.9141 14.56 0.05 16.76  13.47  0.59 8.61e-11 3.78e-12 
uvw2 55832.9829 14.73 0.11 16.03  11.44  1.16 7.70e-11 7.79e-12 
uvw2 55832.9838 14.76 0.05 16.89  11.16  0.52 7.51e-11 3.52e-12 
uvw2 55833.1173 14.88 0.10 16.28  10.00  0.92 6.68e-11 6.13e-12 
uvw2 55833.1347 14.75 0.05 16.89  11.24  0.52 7.52e-11 3.48e-12 
uvw2 55833.1839 14.70 0.09 16.20  11.86  0.99 7.94e-11 6.64e-12 
uvw2 55833.2014 14.72 0.05 16.87  11.59  0.53 7.78e-11 3.59e-12 
uvw2 55833.2505 14.81 0.07 16.54  10.64  0.72 7.15e-11 4.87e-12 
uvw2 55833.2634 14.82 0.06 16.85  10.53  0.54 7.08e-11 3.65e-12 
uvw2 55833.3212 14.75 0.06 16.69  11.26  0.63 7.59e-11 4.23e-12 
uvw2 55833.3356 14.74 0.05 16.82  11.38  0.56 7.67e-11 3.76e-12 
uvw2 55833.3842 14.73 0.06 16.79  11.43  0.57 7.72e-11 3.88e-12 
uvw2 55833.4021 14.78 0.05 16.91  10.97  0.52 7.42e-11 3.49e-12 
uvw2 55833.4526 14.86 0.09 16.41  10.21  0.81 6.92e-11 5.52e-12 
uvw2 55833.4544 14.76 0.05 17.01  11.14  0.47 7.55e-11 3.17e-12 
uvw2 55833.5230 14.67 0.11 15.98  12.15  1.21 8.24e-11 8.21e-12 
uvw2 55833.5240 14.79 0.05 16.90  10.89  0.52 7.39e-11 3.53e-12 
uvw2 55835.3895 15.00 0.10 16.44   8.94  0.79 5.87e-11 5.20e-12 
uvw2 55835.3911 14.91 0.05 17.10   9.77  0.43 6.42e-11 2.83e-12 
uvw2 55835.4591 14.97 0.11 16.24   9.23  0.95 5.95e-11 6.13e-12 
uvw2 55835.4602 15.00 0.05 17.10   8.95  0.43 5.76e-11 2.78e-12 
uvw2 55836.4638 15.07 0.05 17.18   8.40  0.40 5.81e-11 2.77e-12 
uvw2 55836.5320 15.15 0.12 16.33   7.79  0.88 5.09e-11 5.72e-12 
uvw2 55836.5331 15.05 0.05 17.13   8.57  0.42 5.60e-11 2.73e-12 
uvw2 55836.6802 15.10 0.07 16.96   8.14  0.49 5.25e-11 3.16e-12 
uvw2 55836.7385 15.14 0.07 16.98   7.86  0.48 5.07e-11 3.12e-12 
uvw2 55836.8052 15.08 0.07 16.94   8.35  0.50 5.38e-11 3.21e-12 
uvw2 55836.8718 15.05 0.06 16.92   8.58  0.51 5.53e-11 3.28e-12 
uvw2 55836.9392 15.12 0.07 16.96   8.00  0.49 5.14e-11 3.15e-12 
uvw2 55837.0112 15.09 0.06 17.10   8.25  0.43 5.29e-11 2.77e-12 
uvw2 55837.0612 15.16 0.06 17.11   7.69  0.43 4.93e-11 2.74e-12 
uvw2 55837.0725 15.06 0.06 16.93   8.46  0.50 5.42e-11 3.22e-12 
