Title: A Swift look at SN 2011fe: The Earliest Ultraviolet Observations of a 
       Type Ia Supernova  
Authors: Brown P.J., Dawson K.S., de Pasquale M., Gronwall C., Holland S., 
         Immler S., Kuin P., Mazzali P., Milne P., Oates S., Siegel M. 
Table: SN2011fe UVOT Magnitudes, Count Rates and Fluxes
================================================================================
Byte-by-byte Description of file: apj431440t1_mrt.txt
-------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---     Filter  Filter used in observation
   6- 15 F10.4  d       MJD     Modified Julian Date of observation  
  17- 21 F5.2   mag     mag     ? Observed magnitude in Filter
  23- 26 F4.2   mag   e_mag     ? Uncertainty in mag  
  28- 32 F5.2   mag     Upper   The 3{sigma} upper limit  
  34- 39 F6.2   ct/s    CRate   Count rate  
  41- 45 F5.2   ct/s  e_CRate   Uncertainty in CRate 
  47- 54 E8.2   mW/m2   Flux    Observed flux; erg/s/cm^2^   
  56- 63 E8.2   mW/m2 e_Flux    Uncertainty in Flux; erg/s/cm^2^
--------------------------------------------------------------------------------
uvw2 55866.8880 16.42 0.07 18.18   2.41  0.16 1.71e-11 1.13e-12 
uvw2 55867.3576 16.47 0.09 17.98   2.31  0.19 1.58e-11 1.31e-12 
uvw2 55867.9593 16.45 0.08 18.13   2.36  0.17 1.64e-11 1.16e-12 
uvw2 55868.0924 16.52 0.07 18.26   2.22  0.15 1.53e-11 1.02e-12 
uvw2 55868.4893 16.50 0.10 17.94   2.25  0.20 1.56e-11 1.38e-12 
uvw2 55869.1622 16.55 0.08 18.25   2.15  0.15 1.49e-11 1.04e-12 
uvw2 55873.1143 16.66 0.08 18.28   1.94  0.14 1.32e-11 9.92e-13 
uvw2 55875.7226 16.52 0.10 17.97   2.21  0.19 1.43e-11 1.25e-12 
uvw2 55877.9381 16.69 0.08 18.30   1.89  0.14 1.30e-11 9.87e-13 
uvw2 55879.2057 16.90 0.09 18.38   1.56  0.13 1.04e-11 8.77e-13 
uvw2 55881.9527 16.99 0.10 18.42   1.43  0.13 9.53e-12 8.54e-13 
uvw2 55885.8991 16.96 0.10 18.42   1.47  0.13 9.85e-12 8.59e-13 
uvw2 55887.3067 17.03 0.10 18.42   1.38  0.13 9.19e-12 8.50e-13 
uvw2 55889.7816 17.19 0.11 18.49   1.19  0.12 8.07e-12 8.13e-13 
uvw2 55891.8400 17.14 0.10 18.49   1.24  0.12 8.29e-12 8.01e-13 
uvw2 55893.9122 17.18 0.11 18.50   1.20  0.12 7.61e-12 7.53e-13 
uvw2 55895.9169 17.22 0.11 18.50   1.16  0.12 7.33e-12 7.52e-13 
uvw2 55897.4626 17.29 0.14 18.34   1.09  0.14 7.38e-12 9.32e-13 
uvw2 55899.6630 17.51 0.14 18.58   0.89  0.11 5.64e-12 7.07e-13 
uvw2 55901.5371 17.56 0.14 18.61   0.85  0.11 5.02e-12 6.41e-13 
uvw2 55903.7360 17.50 0.13 18.59   0.90  0.11 5.04e-12 6.13e-13 
uvw2 55905.0725 17.73 0.15 18.66   0.73  0.10 4.55e-12 6.46e-13 
uvw2 55909.9525 17.67 0.15 18.64   0.77  0.10 4.84e-12 6.62e-13 
uvw2 55913.8960 17.89 0.18 18.67   0.62  0.10 3.97e-12 6.49e-13 
uvm2 55797.9407            18.70   0.03  0.05 2.07e-13 3.91e-13 
uvm2 55798.0082            18.72   0.01  0.05 5.90e-14 3.69e-13 
uvm2 55799.0079            18.42   0.17  0.06 1.34e-12 4.92e-13 
uvm2 55799.1391 18.69 0.36 18.70   0.18  0.06 1.44e-12 4.78e-13 
uvm2 55799.2167            18.73   0.16  0.06 1.28e-12 4.60e-13 
uvm2 55799.4050 18.21 0.31 18.38   0.29  0.08 2.27e-12 6.52e-13 
uvm2 55799.5472 18.60 0.33 18.71   0.20  0.06 1.55e-12 4.68e-13 
uvm2 55800.0754 18.02 0.21 18.58   0.34  0.07 2.67e-12 5.31e-13 
uvm2 55800.2102 17.98 0.23 18.46   0.35  0.07 2.76e-12 5.87e-13 
uvm2 55800.3460 17.98 0.22 18.51   0.35  0.07 2.75e-12 5.59e-13 
uvm2 55800.6230 17.79 0.18 18.52   0.42  0.07 3.23e-12 5.47e-13 
uvm2 55800.7431 17.61 0.17 18.44   0.50  0.08 3.84e-12 5.95e-13 
uvm2 55800.8124 17.59 0.18 18.33   0.50  0.09 3.89e-12 6.65e-13 
uvm2 55800.9385 17.57 0.19 18.24   0.52  0.09 3.95e-12 7.03e-13 
uvm2 55801.0114 17.43 0.20 18.09   0.59  0.11 4.53e-12 8.16e-13 
uvm2 55801.1446 17.47 0.16 18.34   0.56  0.09 4.32e-12 6.50e-13 
uvm2 55801.2261 17.25 0.14 18.28   0.69  0.09 5.36e-12 6.97e-13 
uvm2 55801.2687 17.54 0.23 18.05   0.53  0.11 4.05e-12 8.39e-13 
uvm2 55801.4020 17.17 0.18 17.92   0.74  0.12 5.72e-12 9.57e-13 
uvm2 55801.4935 17.34 0.15 18.32   0.64  0.09 4.86e-12 6.57e-13 
uvm2 55801.5455 17.31 0.17 18.11   0.66  0.10 5.02e-12 7.96e-13 
uvm2 55801.6694 17.07 0.17 17.88   0.82  0.13 6.29e-12 1.00e-12 
uvm2 55801.8036 16.94 0.17 17.75   0.92  0.15 7.09e-12 1.13e-12 
uvm2 55801.9369 16.72 0.15 17.68   1.12  0.15 8.74e-12 1.21e-12 
uvm2 55802.0091 17.04 0.17 17.83   0.84  0.14 6.45e-12 1.03e-12 
uvm2 55802.1611 16.63 0.10 18.05   1.23  0.11 9.57e-12 8.56e-13 
uvm2 55802.2251 16.77 0.09 18.25   1.08  0.09 8.33e-12 7.12e-13 
uvm2 55804.2998 15.17 0.05 17.25   4.70  0.23 3.84e-11 1.88e-12 
uvm2 55805.3697 14.59 0.04 16.91   8.05  0.32 6.67e-11 2.62e-12 
uvm2 55805.4235 14.53 0.04 16.89   8.46  0.32 7.02e-11 2.67e-12 
uvm2 55806.3656 14.09 0.04 16.51  12.71  0.46 1.06e-10 3.82e-12 
uvm2 55806.7601 13.96 0.04 16.34  14.28  0.53 1.19e-10 4.44e-12 
uvm2 55807.0864 13.93 0.05 16.10  14.67  0.67 1.22e-10 5.55e-12 
uvm2 55807.1526 13.82 0.05 16.00  16.25  0.73 1.36e-10 6.12e-12 
uvm2 55807.2865 13.84 0.05 16.04  16.06  0.71 1.34e-10 5.90e-12 
uvm2 55807.4205 13.78 0.05 15.99  16.95  0.73 1.42e-10 6.15e-12 
uvm2 55807.6949 13.70 0.09 15.19  18.16  1.54 1.52e-10 1.29e-11 
uvm2 55807.6957 13.76 0.05 15.99  17.26  0.73 1.44e-10 6.13e-12 
uvm2 55807.8277 13.64 0.04 16.10  19.20  0.67 1.61e-10 5.59e-12 
uvm2 55808.0237 13.56 0.05 15.79  20.60  0.88 1.73e-10 7.38e-12 
uvm2 55808.0897 13.56 0.05 15.79  20.70  0.89 1.73e-10 7.43e-12 
uvm2 55808.2228 13.57 0.05 15.82  20.50  0.86 1.72e-10 7.24e-12 
uvm2 55808.7609 13.38 0.08 15.02  24.38  1.80 2.05e-10 1.51e-11 
uvm2 55808.7617 13.43 0.04 15.73  23.30  0.93 1.95e-10 7.80e-12 
uvm2 55808.7718 13.48 0.04 15.92  22.28  0.78 1.87e-10 6.55e-12 
uvm2 55808.9030 13.41 0.04 15.82  23.65  0.86 1.98e-10 7.24e-12 
uvm2 55809.3682 13.43 0.04 15.91  23.31  0.79 1.95e-10 6.60e-12 
uvm2 55809.6429 13.33 0.04 15.78  25.69  0.89 2.15e-10 7.45e-12 
uvm2 55809.7624 13.27 0.08 14.95  27.09  1.92 2.27e-10 1.61e-11 
uvm2 55809.7632 13.26 0.04 15.59  27.31  1.06 2.29e-10 8.94e-12 
uvm2 55810.1145 13.26 0.04 15.74  27.21  0.93 2.28e-10 7.76e-12 
uvm2 55810.3032 13.24 0.04 15.73  27.69  0.94 2.32e-10 7.86e-12 
uvm2 55811.0366 13.08 0.06 14.98  32.22  1.86 2.71e-10 1.57e-11 
uvm2 55811.0377 13.18 0.04 15.57  29.40  1.08 2.47e-10 9.11e-12 
uvm2 55811.6389 13.14 0.07 14.99  30.38  1.85 2.55e-10 1.56e-11 
uvm2 55811.6399 13.17 0.04 15.55  29.71  1.11 2.50e-10 9.29e-12 
uvm2 55812.3767 13.03 0.06 15.00  33.68  1.83 2.84e-10 1.54e-11 
uvm2 55812.3779 13.09 0.04 15.51  31.92  1.15 2.69e-10 9.68e-12 
uvm2 55812.5768 13.10 0.04 15.47  31.70  1.19 2.67e-10 9.99e-12 
uvm2 55813.1202 13.08 0.06 15.01  32.26  1.82 2.72e-10 1.54e-11 
uvm2 55813.1214 13.07 0.04 15.48  32.46  1.18 2.73e-10 9.89e-12 
uvm2 55814.2580 13.03 0.06 15.00  33.62  1.83 2.85e-10 1.55e-11 
uvm2 55814.2592 13.03 0.04 15.45  33.82  1.21 2.87e-10 1.03e-11 
uvm2 55814.3768 13.03 0.04 15.31  33.88  1.38 2.87e-10 1.17e-11 
uvm2 55814.7782 13.07 0.04 15.34  32.48  1.34 2.75e-10 1.13e-11 
uvm2 55814.8448 13.03 0.04 15.31  33.79  1.37 2.87e-10 1.16e-11 
uvm2 55814.9212 13.07 0.05 15.16  32.59  1.57 2.76e-10 1.33e-11 
uvm2 55814.9229 13.05 0.04 15.50  33.16  1.16 2.81e-10 9.83e-12 
uvm2 55815.2586 13.13 0.05 15.20  30.61  1.52 2.60e-10 1.29e-11 
uvm2 55815.2604 13.06 0.04 15.52  32.67  1.14 2.78e-10 9.71e-12 
uvm2 55815.3963 13.05 0.06 15.03  33.24  1.78 2.83e-10 1.52e-11 
uvm2 55815.3976 13.10 0.04 15.52  31.49  1.14 2.68e-10 9.69e-12 
uvm2 55816.3307 13.12 0.05 15.18  30.94  1.55 2.64e-10 1.33e-11 
uvm2 55816.3323 13.09 0.04 15.53  31.87  1.12 2.72e-10 9.58e-12 
uvm2 55817.7987 13.20 0.04 15.66  28.86  0.99 2.46e-10 8.49e-12 
uvm2 55817.8692 13.20 0.04 15.68  28.91  0.98 2.47e-10 8.37e-12 
uvm2 55818.4102 13.26 0.04 15.75  27.28  0.92 2.33e-10 7.86e-12 
uvm2 55819.0688 13.26 0.06 15.22  27.38  1.50 2.34e-10 1.28e-11 
uvm2 55819.0703 13.35 0.04 15.75  25.24  0.92 2.15e-10 7.82e-12 
uvm2 55820.8774 13.61 0.08 15.28  19.81  1.42 1.68e-10 1.21e-11 
uvm2 55820.8785 13.57 0.04 15.89  20.56  0.80 1.75e-10 6.83e-12 
uvm2 55820.9464 13.59 0.04 15.97  20.22  0.75 1.72e-10 6.40e-12 
uvm2 55822.2161 13.69 0.09 15.25  18.30  1.45 1.56e-10 1.23e-11 
uvm2 55822.2170 13.79 0.04 16.05  16.77  0.70 1.42e-10 5.92e-12 
uvm2 55823.0198 13.88 0.09 15.39  15.36  1.27 1.30e-10 1.08e-11 
uvm2 55823.0208 13.88 0.04 16.14  15.37  0.64 1.30e-10 5.43e-12 
uvm2 55823.0867 14.02 0.10 15.37  13.59  1.30 1.15e-10 1.10e-11 
uvm2 55823.0876 13.89 0.05 16.10  15.33  0.67 1.30e-10 5.64e-12 
uvm2 55824.4253 14.09 0.11 15.37  12.76  1.30 1.07e-10 1.10e-11 
uvm2 55824.4262 14.03 0.05 16.19  13.48  0.61 1.14e-10 5.15e-12 
uvm2 55826.9093 14.41 0.11 15.69   9.47  0.97 7.91e-11 8.09e-12 
uvm2 55826.9103 14.36 0.05 16.51   9.89  0.46 8.27e-11 3.82e-12 
uvm2 55826.9728 14.45 0.13 15.59   9.13  1.06 7.60e-11 8.86e-12 
uvm2 55826.9737 14.41 0.05 16.49   9.47  0.46 7.89e-11 3.87e-12 
uvm2 55827.0402 14.16 0.11 15.41  11.92  1.25 1.00e-10 1.05e-11 
uvm2 55827.0410 14.41 0.06 16.47   9.44  0.47 7.87e-11 3.95e-12 
uvm2 55828.1731 14.48 0.11 15.74   8.86  0.93 7.39e-11 7.74e-12 
uvm2 55828.1742 14.51 0.05 16.61   8.64  0.41 7.20e-11 3.46e-12 
uvm2 55829.4458 14.79 0.12 15.95   6.64  0.76 5.50e-11 6.31e-12 
uvm2 55829.4470 14.60 0.05 16.71   7.95  0.38 6.63e-11 3.15e-12 
uvm2 55829.5146 14.71 0.14 15.73   7.20  0.94 5.97e-11 7.78e-12 
uvm2 55829.5154 14.77 0.06 16.72   6.78  0.38 5.61e-11 3.10e-12 
uvm2 55829.8431 14.90 0.16 15.76   6.04  0.91 4.98e-11 7.50e-12 
uvm2 55829.8439 14.77 0.06 16.70   6.79  0.38 5.63e-11 3.19e-12 
uvm2 55830.0419 14.81 0.07 16.64   6.54  0.40 5.43e-11 3.35e-12 
uvm2 55830.3778 14.78 0.06 16.75   6.72  0.37 5.58e-11 3.04e-12 
uvm2 55830.5146 14.91 0.06 16.86   5.99  0.33 4.95e-11 2.72e-12 
uvm2 55831.7954 14.91 0.14 15.98   5.96  0.74 4.96e-11 6.16e-12 
uvm2 55831.7966 15.05 0.06 17.00   5.27  0.29 4.36e-11 2.41e-12 
uvm2 55831.9178 15.36 0.18 16.10   3.94  0.66 3.22e-11 5.42e-12 
uvm2 55831.9189 15.02 0.06 16.94   5.39  0.31 4.47e-11 2.54e-12 
uvm2 55832.9874 15.06 0.16 15.93   5.22  0.78 4.33e-11 6.47e-12 
uvm2 55832.9883 15.14 0.07 16.99   4.81  0.29 3.98e-11 2.42e-12 
uvm2 55833.4602 15.10 0.12 16.30   5.01  0.55 4.16e-11 4.60e-12 
uvm2 55833.4619 15.12 0.06 17.17   4.92  0.25 4.08e-11 2.07e-12 
uvm2 55833.5276 15.09 0.17 15.94   5.04  0.77 4.19e-11 6.40e-12 
uvm2 55833.5285 15.18 0.07 17.01   4.66  0.29 3.86e-11 2.39e-12 
uvm2 55835.3965 15.47 0.15 16.43   3.57  0.49 2.94e-11 4.07e-12 
uvm2 55835.3981 15.27 0.06 17.23   4.28  0.23 3.56e-11 1.95e-12 
uvm2 55835.4644 15.57 0.19 16.27   3.25  0.57 2.67e-11 4.67e-12 
uvm2 55835.4655 15.39 0.07 17.20   3.82  0.24 3.16e-11 2.00e-12 
uvm2 55836.4685 15.19 0.14 16.20   4.62  0.61 3.85e-11 5.08e-12 
uvm2 55836.4698 15.46 0.07 17.28   3.61  0.22 2.98e-11 1.85e-12 
uvm2 55836.5372 15.51 0.18 16.24   3.43  0.58 2.82e-11 4.79e-12 
uvm2 55836.5383 15.60 0.07 17.31   3.17  0.22 2.60e-11 1.79e-12 
uvm2 55837.4015 15.71 0.19 16.40   2.85  0.50 2.34e-11 4.12e-12 
uvm2 55837.4027 15.58 0.07 17.33   3.23  0.21 2.66e-11 1.76e-12 
uvm2 55838.3408 15.48 0.15 16.47   3.53  0.47 2.93e-11 3.94e-12 
uvm2 55838.3424 15.53 0.06 17.40   3.38  0.20 2.80e-11 1.66e-12 
uvm2 55838.9430 15.81 0.22 16.37   2.60  0.52 2.13e-11 4.24e-12 
uvm2 55838.9441 15.69 0.08 17.36   2.91  0.21 2.40e-11 1.72e-12 
uvm2 55839.6137 15.87 0.22 16.43   2.46  0.49 2.02e-11 4.04e-12 
uvm2 55839.6149 15.64 0.07 17.35   3.04  0.21 2.52e-11 1.74e-12 
uvm2 55840.2146 15.76 0.18 16.51   2.74  0.46 2.26e-11 3.78e-12 
uvm2 55840.2160 15.76 0.07 17.49   2.72  0.18 2.25e-11 1.53e-12 
uvm2 55840.3522 15.77 0.26 16.14   2.70  0.64 2.23e-11 5.29e-12 
uvm2 55840.3531 15.81 0.09 17.28   2.60  0.22 2.15e-11 1.85e-12 
uvm2 55841.3469 15.77 0.20 16.41   2.69  0.50 2.24e-11 4.13e-12 
uvm2 55841.3482 15.80 0.08 17.45   2.62  0.19 2.17e-11 1.59e-12 
uvm2 55841.8889 16.08 0.25 16.48   2.04  0.47 1.67e-11 3.82e-12 
uvm2 55841.8900 15.77 0.08 17.38   2.70  0.20 2.24e-11 1.69e-12 
uvm2 55842.0099 15.42 0.21 16.00   3.74  0.73 3.15e-11 6.17e-12 
uvm2 55842.0107 15.77 0.09 17.23   2.72  0.23 2.26e-11 1.95e-12 
uvm2 55842.0773 15.79 0.10 17.19   2.66  0.24 2.22e-11 2.03e-12 
uvm2 55842.1428 15.85 0.08 17.47   2.52  0.19 2.09e-11 1.56e-12 
uvm2 55842.3541 15.49 0.18 16.23   3.48  0.59 2.93e-11 4.94e-12 
uvm2 55842.3553 15.88 0.09 17.44   2.45  0.19 2.03e-11 1.60e-12 
uvm2 55842.5477 15.89 0.08 17.48   2.42  0.19 2.01e-11 1.54e-12 
uvm2 55842.8930 15.82 0.22 16.38   2.58  0.52 2.15e-11 4.29e-12 
uvm2 55842.8941 15.76 0.08 17.38   2.74  0.20 2.29e-11 1.70e-12 
uvm2 55842.9455 15.88 0.12 17.05   2.44  0.28 2.03e-11 2.31e-12 
uvm2 55843.4875 15.87 0.23 16.39   2.46  0.51 2.05e-11 4.24e-12 
uvm2 55843.4886 15.93 0.09 17.46   2.33  0.19 1.94e-11 1.58e-12 
uvm2 55843.7516 16.18 0.28 16.46   1.86  0.48 1.53e-11 3.94e-12 
uvm2 55843.7526 15.82 0.09 17.38   2.57  0.20 2.15e-11 1.71e-12 
uvm2 55844.0205 16.15 0.26 16.52   1.91  0.45 1.59e-11 3.74e-12 
uvm2 55844.0216 15.94 0.09 17.49   2.31  0.18 1.93e-11 1.54e-12 
uvm2 55844.0869 15.86 0.23 16.37   2.50  0.52 2.09e-11 4.32e-12 
uvm2 55844.0880 16.01 0.09 17.49   2.17  0.18 1.80e-11 1.53e-12 
uvm2 55845.4243 15.69 0.21 16.29   2.91  0.56 2.46e-11 4.72e-12 
uvm2 55845.4254 15.96 0.10 17.38   2.28  0.21 1.91e-11 1.73e-12 
uvm2 55845.4903 15.90 0.25 16.29   2.40  0.56 2.02e-11 4.70e-12 
uvm2 55845.4912 15.88 0.09 17.36   2.45  0.21 2.07e-11 1.75e-12 
uvm2 55845.5546 15.84 0.27 16.17   2.54  0.62 2.14e-11 5.26e-12 
uvm2 55845.5554 16.10 0.11 17.38   2.00  0.20 1.67e-11 1.71e-12 
uvm2 55846.7029 16.42 0.28 16.70   1.48  0.38 1.23e-11 3.18e-12 
uvm2 55846.7041 16.03 0.09 17.55   2.13  0.18 1.79e-11 1.48e-12 
uvm2 55847.4392 15.85 0.21 16.45   2.52  0.48 2.13e-11 4.07e-12 
uvm2 55847.4404 16.11 0.09 17.59   1.97  0.17 1.65e-11 1.41e-12 
uvm2 55848.0489 16.02 0.06 17.92   2.15  0.12 1.81e-11 1.04e-12 
uvm2 55849.5163 16.13 0.07 17.98   1.94  0.12 1.63e-11 9.92e-13 
uvm2 55850.7234 16.15 0.07 17.97   1.91  0.12 1.61e-11 9.95e-13 
uvm2 55852.3279 16.19 0.07 18.01   1.83  0.12 1.55e-11 9.72e-13 
uvm2 55853.7232 16.35 0.07 18.08   1.58  0.11 1.34e-11 9.12e-13 
uvm2 55854.8600 16.10 0.14 17.15   2.00  0.25 1.70e-11 2.15e-12 
uvm2 55855.5903 16.40 0.08 18.02   1.51  0.11 1.28e-11 9.55e-13 
uvm2 55855.6605 16.37 0.08 18.02   1.56  0.11 1.32e-11 9.64e-13 
uvm2 55856.3927 16.42 0.08 18.02   1.49  0.11 1.26e-11 9.63e-13 
uvm2 55856.4593 16.44 0.09 18.02   1.45  0.11 1.23e-11 9.55e-13 
uvm2 55857.4638 16.36 0.08 18.03   1.56  0.11 1.32e-11 9.57e-13 
uvm2 55857.5234 16.55 0.12 17.77   1.31  0.14 1.11e-11 1.21e-12 
uvm2 55858.5262 16.45 0.11 17.72   1.44  0.15 1.22e-11 1.27e-12 
uvm2 55859.5371 16.55 0.09 18.07   1.32  0.11 1.12e-11 9.20e-13 
uvm2 55860.0095 16.55 0.09 18.05   1.31  0.11 1.11e-11 9.29e-13 
uvm2 55860.0659 16.62 0.11 17.96   1.24  0.12 1.04e-11 1.01e-12 
uvm2 55861.1430 16.75 0.09 18.21   1.10  0.10 9.28e-12 8.09e-13 
uvm2 55862.2796 16.67 0.09 18.20   1.18  0.10 9.99e-12 8.10e-13 
uvm2 55863.0151 16.60 0.09 18.16   1.26  0.10 1.07e-11 8.37e-13 
uvm2 55864.8893 16.68 0.09 18.20   1.17  0.10 9.92e-12 8.11e-13 
uvm2 55865.2223 16.80 0.10 18.22   1.05  0.09 8.84e-12 7.92e-13 
uvm2 55866.8946 16.68 0.09 18.17   1.16  0.10 9.83e-12 8.36e-13 
uvm2 55867.3608 16.91 0.12 18.06   0.95  0.11 7.96e-12 9.15e-13 
uvm2 55867.9646 16.80 0.10 18.18   1.04  0.10 8.78e-12 8.25e-13 
uvm2 55868.1001 16.89 0.10 18.27   0.96  0.09 8.11e-12 7.56e-13 
uvm2 55868.4922 16.83 0.12 18.03   1.02  0.11 8.58e-12 9.41e-13 
uvm2 55869.1691 16.93 0.10 18.28   0.93  0.09 7.82e-12 7.48e-13 
uvm2 55873.1206 17.05 0.12 18.26   0.83  0.09 6.98e-12 7.64e-13 
uvm2 55875.7255 17.32 0.16 18.23   0.65  0.09 5.41e-12 7.74e-13 
uvm2 55877.9446 17.13 0.12 18.29   0.77  0.09 6.49e-12 7.49e-13 
uvm2 55879.2121 17.32 0.14 18.34   0.65  0.08 5.39e-12 7.00e-13 
uvm2 55881.9593 17.36 0.15 18.34   0.63  0.08 5.23e-12 7.00e-13 
uvm2 55885.9061 17.37 0.14 18.37   0.62  0.08 5.15e-12 6.84e-13 
uvm2 55887.3118 17.47 0.16 18.35   0.56  0.08 4.68e-12 6.98e-13 
uvm2 55889.7862 17.38 0.17 18.23   0.61  0.09 5.14e-12 7.86e-13 
uvm2 55891.8463 17.57 0.16 18.44   0.51  0.08 4.28e-12 6.41e-13 
uvm2 55893.9185 17.94 0.20 18.56   0.37  0.07 3.02e-12 5.67e-13 
uvm2 55895.9232 17.98 0.21 18.57   0.35  0.07 2.90e-12 5.58e-13 
uvm2 55897.4662 17.56 0.17 18.36   0.52  0.08 4.36e-12 6.94e-13 
uvm2 55899.6699 17.99 0.21 18.58   0.35  0.07 2.87e-12 5.59e-13 
uvm2 55901.5438 18.53 0.31 18.70   0.21  0.06 1.72e-12 4.90e-13 
uvm2 55905.0796 18.18 0.24 18.63   0.29  0.06 2.41e-12 5.24e-13 
uvm2 55909.9591 18.28 0.26 18.65   0.27  0.06 2.20e-12 5.16e-13 
uvm2 55913.9027 18.28 0.26 18.65   0.27  0.06 2.21e-12 5.17e-13 
uvw1 55797.9237 17.49 0.14 18.49   0.96  0.13 5.61e-12 7.45e-13 
uvw1 55797.9906 17.23 0.13 18.36   1.22  0.14 7.02e-12 8.24e-13 
uvw1 55799.0019 16.10 0.08 17.69   3.43  0.27 2.03e-11 1.57e-12 
uvw1 55799.1297 15.89 0.07 17.73   4.16  0.26 2.47e-11 1.52e-12 
uvw1 55799.2073 15.95 0.07 17.78   3.96  0.24 2.32e-11 1.44e-12 
uvw1 55799.3974 15.77 0.06 17.66   4.65  0.27 2.77e-11 1.61e-12 
uvw1 55799.5356 15.55 0.06 17.58   5.71  0.29 3.35e-11 1.72e-12 
uvw1 55800.0650 15.31 0.05 17.39   7.11  0.35 4.18e-11 2.05e-12 
uvw1 55800.2044 15.12 0.06 17.12   8.51  0.45 4.99e-11 2.61e-12 
uvw1 55800.3383 15.02 0.05 17.14   9.28  0.44 5.43e-11 2.56e-12 
uvw1 55800.6089 14.80 0.04 17.09  11.34  0.46 6.63e-11 2.68e-12 
uvw1 55800.7340 14.71 0.05 16.94  12.36  0.53 7.25e-11 3.09e-12 
uvw1 55800.8075 14.63 0.05 16.76  13.28  0.62 7.79e-11 3.67e-12 
uvw1 55800.9344 14.65 0.05 16.72  13.02  0.65 7.62e-11 3.78e-12 
uvw1 55801.0131 14.54 0.04 16.80  14.44  0.60 8.48e-11 3.53e-12 
uvw1 55801.1381 14.47 0.05 16.70  15.45  0.66 9.04e-11 3.85e-12 
uvw1 55801.2182 14.40 0.04 16.69  16.41  0.67 9.59e-11 3.89e-12 
uvw1 55801.2701 14.35 0.04 16.62  17.26  0.71 1.00e-10 4.12e-12 
uvw1 55801.4034 14.32 0.04 16.61  17.67  0.72 1.03e-10 4.21e-12 
uvw1 55801.4856 14.27 0.04 16.58  18.58  0.73 1.08e-10 4.28e-12 
uvw1 55801.5472 14.16 0.04 16.47  20.57  0.81 1.20e-10 4.75e-12 
uvw1 55801.6708 14.08 0.04 16.41  22.16  0.86 1.30e-10 5.06e-12 
uvw1 55801.8049 14.03 0.04 16.36  23.06  0.90 1.36e-10 5.29e-12 
uvw1 55801.9382 13.94 0.04 16.29  25.08  0.96 1.48e-10 5.71e-12 
uvw1 55802.0104 13.84 0.04 16.21  27.52  1.04 1.62e-10 6.10e-12 
uvw1 55802.1542 13.75 0.04 16.14  29.91  1.11 1.77e-10 6.57e-12 
uvw1 55802.2113 13.79 0.04 16.23  28.91  1.02 1.70e-10 6.00e-12 
uvw1 55803.0148 13.15 0.04 15.64  52.00  1.76 3.12e-10 1.06e-11 
uvw1 55804.2943 12.40 0.04 14.90 103.84  3.46 6.38e-10 2.13e-11 
uvw1 55805.3731 11.90 0.04 14.42 164.64  5.38 1.03e-09 3.38e-11 
uvw1 55805.4279 11.93 0.04 14.45 160.50  5.23 1.01e-09 3.29e-11 
uvw1 55806.3700 11.59 0.04 14.12 219.09  7.08 1.40e-09 4.52e-11 
uvw1 55806.7623 11.49 0.04 14.01 240.20  7.84 1.53e-09 5.01e-11 
uvw1 55807.0872 11.46 0.04 13.99 247.01  8.02 1.57e-09 5.11e-11 
uvw1 55807.1537 11.45 0.04 13.98 249.63  8.07 1.60e-09 5.16e-11 
uvw1 55807.4217 11.41 0.04 13.95 257.51  8.31 1.64e-09 5.31e-11 
uvw1 55807.6979 11.32 0.04 13.85 279.95  9.10 1.79e-09 5.81e-11 
uvw1 55808.7639 11.17 0.04 13.70 322.98 10.46 2.07e-09 6.70e-11 
uvw1 55809.7651 11.06 0.04 13.58 357.30 11.64 2.29e-09 7.46e-11 
uvw1 55811.0401 11.03 0.04 13.57 365.44 11.81 2.33e-09 7.53e-11 
uvw1 55811.6423 11.04 0.04 13.57 363.55 11.77 2.31e-09 7.49e-11 
uvw1 55812.3807 11.00 0.04 13.53 377.86 12.23 2.40e-09 7.78e-11 
uvw1 55812.5789 11.03 0.04 13.56 367.26 11.91 2.33e-09 7.57e-11 
uvw1 55813.1241 11.02 0.04 13.54 368.93 12.05 2.35e-09 7.68e-11 
uvw1 55814.2620 11.07 0.04 13.60 351.93 11.42 2.24e-09 7.27e-11 
uvw1 55814.9269 11.12 0.04 13.65 338.25 10.95 2.15e-09 6.97e-11 
uvw1 55815.2642 11.14 0.04 13.67 332.19 10.73 2.11e-09 6.82e-11 
uvw1 55815.4004 11.16 0.04 13.69 323.78 10.54 2.05e-09 6.67e-11 
uvw1 55816.3350 11.23 0.04 13.74 303.34 10.03 1.92e-09 6.36e-11 
uvw1 55817.8582 11.43 0.04 13.96 253.74  8.20 1.60e-09 5.17e-11 
uvw1 55818.3967 11.56 0.04 14.09 225.01  7.29 1.41e-09 4.57e-11 
uvw1 55819.0720 11.63 0.04 14.12 211.53  7.07 1.32e-09 4.42e-11 
uvw1 55819.0735 11.58 0.04 14.11 220.81  7.19 1.38e-09 4.50e-11 
uvw1 55820.8799 11.93 0.04 14.36 160.06  5.69 9.88e-10 3.51e-11 
uvw1 55820.8810 11.83 0.04 14.34 175.86  5.81 1.09e-09 3.59e-11 
uvw1 55820.9484 11.87 0.04 14.34 169.72  5.81 1.05e-09 3.59e-11 
